CODIGO_DA_IES,NOME_DA_IES,CATEGORIA_DA_IES,MUNICIPIO,UF,SITUACAO_IES
3641,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS,Privada,Barretos,SP,Ativa
25655,SIRIUS ESCOLA SUPERIOR DE TECNOLOGIA,Privada,Belo Horizonte,MG,Ativa
1395,FACULDADE DE CALDAS NOVAS,Privada,Caldas Novas,GO,Ativa
1823,INSTITUTO DE ENSINO SUPERIOR DO AMAPÁ,Privada,Macapá,AP,Ativa
1436,ESCOLA SUPERIOR BATISTA DO AMAZONAS,Privada,Manaus,AM,Ativa
3514,FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES,Privada,Além Paraíba,MG,Ativa
15520,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL",Pública,Campo Grande,MS,Ativa
22628,CLARETIANO - FACULDADE DE BOA VISTA,Privada,Boa Vista,RR,Ativa
16628,Faculdade ANASPS,Privada,Brasília,DF,Ativa
20685,FACULDADE HOSPITAL SÃO PAULO DE MURIAÉ,Privada,Muriaé,MG,Ativa
21514,FACULDADE DO SERTÃO DO SÃO FRANCISCO,Privada,Cabrobó,PE,Ativa
21414,Centro de Estudos de Pessoal e Forte Duque de Caxias,Pública,Rio de Janeiro,RJ,Ativa
15980,FG Faculdade Global,Privada,Porto Alegre,RS,Ativa
1657,CENTRO UNIVERSITÁRIO UNISEP,Privada,Dois Vizinhos,PR,Ativa
1302,FACULDADE BATISTA BRASILEIRA,Privada,Salvador,BA,Ativa
171,FACULDADE DE DIREITO DO SUL DE MINAS,Privada,Pouso Alegre,MG,Ativa
18067,CISNE - Faculdade Tecnológica de Quixadá,Privada,Quixadá,CE,Ativa
702,FACULDADE  DE CIÊNCIAS E TECNOLOGIA PROFESSOR DIRSON MACIEL DE BARROS,Pública,Goiana,PE,Ativa
23146,Faculdade Dominius,Privada,Guanambi,BA,Ativa
1717,Faculdade de Imperatriz Wyden,Privada,Imperatriz,MA,Ativa
18678,FACULDADE ESTÁCIO CACHOEIRO DE ITAPEMIRIM,Privada,Cachoeiro de Itapemirim,ES,Extinta
22603,FACULDADE ANCLIVEPA DE GESTÃO E HUMANOLOGIA,Privada,São Paulo,SP,Ativa
26139,VOAS - INSTITUTO DE APRENDIZAGEM SUPERIOR,Privada,Salvador,BA,Ativa
1801,FACULDADE DOM BOSCO DE UBIRATÃ,Privada,Ubiratã,PR,Ativa
4938,FACULDADE CLARETIANA DE TEOLOGIA,Privada,Curitiba,PR,Ativa
571,UNIVERSIDADE FEDERAL DO PARANÁ,Pública,Curitiba,PR,Ativa
21408,FACULDADE INTEGRADA DE PALMEIRAS DE GOIÁS,Privada,Palmeiras de Goiás,GO,Ativa
468,"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE ITAPETININGA",Privada,Itapetininga,SP,Extinta
899,FACULDADES INTEGRADAS DE RIO VERDE,Privada,Rio Verde de Mato Grosso,MS,Extinta
23400,FACULDADE FASIPE DE SORRISO,Privada,Sorriso,MT,Ativa
1466,INSTITUTO DE ENSINO SUPERIOR DE ALPHAVILLE,Privada,Santana de Parnaíba,SP,Extinta
16864,Faculdade Cultura Inglesa,Privada,São Paulo,SP,Ativa
23244,Instituto Universitário UNA de Conselheiro Lafaiete,Privada,Conselheiro Lafaiete,MG,Ativa
2145,FACULDADE PROMOVE DE TECNOLOGIA,Privada,Belo Horizonte,MG,Ativa
737,CENTRO UNIVERSITÁRIO SÃO CAMILO,Privada,São Paulo,SP,Ativa
23389,FACULDADE UNIBRAS DO MARANHÃO,Privada,Santa Inês,MA,Ativa
266,UNIVERSIDADE METODISTA DE PIRACICABA,Privada,Piracicaba,SP,Ativa
17322,Faculdade Aberta do Tocantins,Privada,Araguatins,TO,Ativa
20499,Faculdade da Polícia Militar,Privada,Goiânia,GO,Ativa
20003,FACULDADE SERRANA DE SAÚDE,Privada,Itabaiana,SE,Extinta
4179,FACULDADE NAZARENA DO BRASIL,Privada,Campinas,SP,Ativa
5018,INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSOR ALDO MUYLAERT,Pública,Campos dos Goytacazes,RJ,Ativa
3507,FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS IBRAFEM,Privada,Rio das Pedras,SP,Extinta
21587,Faculdade Maurício de Nassau de Uberlândia,Privada,Uberlândia,MG,Extinta
19512,Centro Universitário Imepac - Araguari,Privada,Araguari,MG,Ativa
25425,FACULDADE TELOS DE CAMPINAS,Privada,Campinas,SP,Ativa
3998,INSTITUTO INFNET RIO DE JANEIRO,Privada,Rio de Janeiro,RJ,Ativa
4163,CENTRO UNIVERSITÁRIO BARRIGA VERDE,Privada,Orleans,SC,Ativa
23118,IBPTECH FACULDADE DE CIÊNCIAS FORENSES E TECNOLOGIA,Privada,São Paulo,SP,Ativa
21435,ESCOLA DE FORMAÇÃO COMPLEMENTAR DO EXÉRCITO,Pública,Salvador,BA,Extinta
4598,FACULDADE DE JUNDIAÍ,Privada,Jundiaí,SP,Extinta
23218,Faculdade Paraíso Fortaleza,Privada,Fortaleza,CE,Ativa
19334,Faculdade Uninassau Brasília,Privada,Brasília,DF,Ativa
21441,Escola de Equitação do Exército,Pública,Rio de Janeiro,RJ,Ativa
16914,Faculdade Leonardo da Vinci - Santa Catarina,Privada,Timbó,SC,Ativa
19324,Faculdade de Tecnologia SENAI Dourados,Privada,Dourados,MS,Ativa
24864,INSTITUTO DE EDUCAÇÃO SUPERIOR E INOVAÇÃO INVENIO,Privada,São Paulo,SP,Ativa
724,Centro Universitário FACEX,Privada,Natal,RN,Ativa
14029,Faculdade Presidente Antônio Carlos de Aimorés,Privada,Aimorés,MG,Ativa
19963,Faculdade de Ciências Odontológicas,Privada,Montes Claros,MG,Ativa
23946,Faculdade de Tecnologia e Ciências - FTC Juazeiro do Norte,Privada,Juazeiro do Norte,CE,Ativa
2397,FACULDADE FUCAPE,Privada,Vitória,ES,Ativa
2761,FACULDADE DO SERTÃO,Privada,Irecê,BA,Extinta
18023,FACULDADE UNINASSAU PETROLINA,Privada,Petrolina,PE,Ativa
17651,FACULDADE LIFE,Privada,Padre Bernardo,GO,Ativa
1702,CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA,Privada,Boa Vista,RR,Ativa
652,Centro Universitário Santa Cecília,Privada,Pindamonhangaba,SP,Ativa
1557,UNIVERSIDADE FUMEC,Privada,Belo Horizonte,MG,Ativa
3878,FACULDADE DECISION DE NEGÓCIOS,Privada,Porto Alegre,RS,Ativa
22424,FACULDADE ESAMC GOIÂNIA,Privada,Goiânia,GO,Ativa
752,FACULDADE DE PARÁ DE MINAS,Privada,Pará de Minas,MG,Ativa
1696,FACULDADE CENTRAL DE CRISTALINA,Privada,Cristalina,GO,Ativa
4586,FACULDADE UNIBRAS DO NORTE GOIANO,Privada,Porangatu,GO,Ativa
638,FACULDADE DE DIREITO MILTON CAMPOS,Privada,Nova Lima,MG,Ativa
23228,Faculdade São Judas de Guarulhos,Privada,Guarulhos,SP,Ativa
20587,Faculdade Pitágoras de Irecê,Privada,Irecê,BA,Ativa
878,Centro Universitário Católica do Leste de Minas Gerais,Privada,Coronel Fabriciano,MG,Ativa
3930,INSTITUTO DE EDUCAÇÃO SUPERIOR RAIMUNDO SÁ,Privada,Picos,PI,Ativa
1612,Faculdade Assis Gurgacz,Privada,Toledo,PR,Ativa
1944,FACULDADE DE TECNOLOGIA IBRATEC,Privada,Recife,PE,Extinta
18289,FACULDADE INTEGRADA DE MARINGÁ,Privada,Maringá,PR,Extinta
15689,Faculdade de Tecnologia de Bauru,Pública,Bauru,SP,Ativa
16218,FACULDADE CLARETIANA DE BRASILIA,Privada,Brasília,DF,Ativa
141,FACULDADE DE DIREITO DE VARGINHA - FADIVA,Privada,Varginha,MG,Ativa
4355,Faculdades Integradas Oswaldo Cruz,Privada,Palmas,TO,Ativa
12791,FACULDADE ANHANGUERA DE PINDAMONHANGABA,Privada,Pindamonhangaba,SP,Ativa
21365,FACULDADE MAURÍCIO DE NASSAU DE FLORIANÓPOLIS,Privada,Florianópolis,SC,Extinta
13106,FACULDADE DE TECNOLOGIA LOURENÇO FILHO,Privada,Fortaleza,CE,Ativa
2124,FACULDADE CALAFIORI,Privada,São Sebastião do Paraíso,MG,Ativa
5038,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE MARABÁ,Privada,Marabá,PA,Ativa
3172,UNIVERSIDADE DO ESTADO DO AMAZONAS,Pública,Manaus,AM,Ativa
16502,FACULDADE PESTALOZZI DE FRANCA,Privada,Franca,SP,Ativa
14215,Faculdade Presidente Antônio Carlos de Barroso,Privada,Barroso,MG,Extinta
5101,FACULDADE CENTRO OESTE DO PARANÁ,Privada,Laranjeiras do Sul,PR,Extinta
888,FACULDADE BANDEIRANTES DE CIÊNCIAS EXATAS E HUMANAS,Privada,São Paulo,SP,Extinta
1351,CENTRO UNIVERSITÁRIO SOCIESC,Privada,Joinville,SC,Ativa
18372,FACULDADE SOLIDARIA DO OESTE PAULISTA,Privada,Presidente Prudente,SP,Ativa
5527,FACULDADE DE GOIÂNIA - UNIDADE 1,Privada,Goiânia,GO,Extinta
1879,Centro Universitário UNIFACEAR,Privada,Araucária,PR,Ativa
3360,INSTITUTO DE EDUCAÇÃO SUPERIOR PRESIDENTE KENNEDY - CENTRO DE FORMAÇÃO DE PROFISSIONAIS DE EDUCAÇÃO,Pública,Natal,RN,Ativa
2042,FACULDADE FIGUEIREDO COSTA - FIC,Privada,Maceió,AL,Ativa
5017,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ,Pública,Petrópolis,RJ,Ativa
2197,Faculdade Villas Boas,Privada,São Paulo,SP,Extinta
20340,FACULDADE PAULISTA DE CIÊNCIAS DA SAÚDE,Privada,São Paulo,SP,Ativa
22215,FACULDADE UNIVERITAS UNIVERSUS VERITAS DE NOVA IGUAÇU,Privada,Nova Iguaçu,RJ,Extinta
22932,FACULDADE METROPOLITANA DO CARIRI,Privada,Crato,CE,Ativa
5525,FACULDADE DE TECNOLOGIA LOURENÇO FILHO,Privada,Fortaleza,CE,Extinta
1430,CENTRO UNIVERSITÁRIO INGÁ,Privada,Maringá,PR,Ativa
2435,FACULDADE DE CIÊNCIAS CONTÁBEIS LUIZ MENDES,Privada,João Pessoa,PB,Extinta
490,CENTRO UNIVERSITÁRIO DE VALENÇA,Privada,Valença,RJ,Ativa
1173,FACULDADE ANHANGUERA DE BRASÍLIA,Privada,Brasília,DF,Ativa
1883,CENTRO UNIVERSITÁRIO UNIFAS,Privada,Lauro de Freitas,BA,Ativa
713,ESCOLA SUPERIOR DE ESTATÍSTICA DA BAHIA,Privada,Salvador,BA,Extinta
3290,INSTITUTO SUPERIOR DE EDUCAÇÃO DOS INCONFIDENTES,Privada,Itabirito,MG,Extinta
2257,FACULDADE DIADEMA,Privada,Diadema,SP,Ativa
21238,Faculdade Anhanguera de São José do Rio Preto,Privada,São José do Rio Preto,SP,Ativa
25469,FACULDADE DE SANTA INÊS,Privada,Santa Inês,MA,Ativa
15914,FACULDADE DO SERTAO BAIANO,Privada,Monte Santo,BA,Extinta
1346,FACULDADE BATISTA DE MINAS GERAIS,Privada,Belo Horizonte,MG,Ativa
25261,FACULDADE ITPAC BRAGANÇA,Privada,Bragança,PA,Ativa
1972,Faculdade de São Caetano do Sul,Privada,São Caetano do Sul,SP,Ativa
1678,FACULDADE DE CIÊNCIAS DE WENCESLAU BRAZ,Privada,Wenceslau Braz,PR,Extinta
24470,Faculdade de Medicina do Sertão,Privada,Arcoverde,PE,Ativa
2775,Faculdades Integradas Desembargador Sávio Brandão,Privada,Várzea Grande,MT,Ativa
2336,CENTRO UNIVERSITÁRIO BRASÍLIA DO ESTADO DE GOIÁS,Privada,São Luís de Montes Belos,GO,Ativa
1803,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE PERNAMBUCO,Privada,Recife,PE,Extinta
2560,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,Privada,Feira de Santana,BA,Ativa
1170,Centro Universitário FAMEC,Privada,Camaçari,BA,Ativa
346,INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA,Privada,Limeira,SP,Ativa
22763,FACULDADE SANTA CASA,Privada,Salvador,BA,Ativa
4788,INSTITUTO CENTRO DE ENSINO TECNOLÓGICO - CARIRI,Privada,Limoeiro do Norte,CE,Extinta
